,Class,Text
0,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
1,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
2,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
3,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
4,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
5,Greek,"Συλλέγουμε στοιχεία, για να παρέχουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας. Αυτά αφορούν στην ανίχνευση βασικών πληροφοριών, όπως της γλώσσας ομιλίας σας, μέχρι στον εντοπισμό πιο σύνθετων πραγμάτων, όπως των διαφημίσεων που σας φαίνονται πιο χρήσιμες, των ατόμων που είναι πιο σημαντικά για εσάς στο διαδίκτυο ή των βίντεο στο YouTube που ενδεχομένως θα σας αρέσουν.\"
6,Greek,"Συλλέγουμε στοιχεία για να προσφέρουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας, από την ανίχνευση βασικών στοιχείων, όπως είναι η γλώσσα σας, μέχρι πιο σύνθετα στοιχεία, όπως είναι οι διαφημίσεις τις οποίες θεωρείτε περισσότερο χρήσιμες ή τα άτομα που είναι πιο σημαντικά για εσάς, στο διαδίκτυο.\"
7,Greek,"Συλλέγουμε στοιχεία για να προσφέρουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας, από την ανίχνευση βασικών στοιχείων, όπως είναι η γλώσσα σας, μέχρι πιο σύνθετα στοιχεία, όπως είναι οι διαφημίσεις τις οποίες θεωρείτε περισσότερο χρήσιμες ή τα άτομα που είναι πιο σημαντικά για εσάς, στο διαδίκτυο.\"
8,Greek,"Συλλέγουμε στοιχεία για να προσφέρουμε καλύτερες υπηρεσίες σε όλους τους χρήστες μας, από την ανίχνευση βασικών στοιχείων, όπως είναι η γλώσσα σας, μέχρι πιο σύνθετα στοιχεία, όπως είναι οι διαφημίσεις τις οποίες θεωρείτε περισσότερο χρήσιμες ή τα άτομα που είναι πιο σημαντικά για εσάς, στο διαδίκτυο.\"
9,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
10,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
11,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
12,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
13,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
14,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer, du finder mest nyttige, hvilke personer, der betyder mest for dig på nettet, eller hvilke YouTube-videoer der kunne interessere dig.\"
15,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer du finder mest nyttige, eller hvilke personer der betyder mest for dig på nettet.\"
16,Danish,"Vi indsamler disse oplysninger for at give alle vores brugere nogle bedre tjenester – lige fra at regne ud, hvilket sprog du taler, til mere komplicerede ting, f.eks. hvilke annoncer du finder mest nyttige, eller hvilke personer der betyder mest for dig på nettet.\"
17,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
18,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
19,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
20,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
21,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
22,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, den Personen, die Ihnen online am wichtigsten sind, oder den YouTube-Videos, die Sie interessant finden könnten.\"
23,German,"Wir erfassen Informationen, um allen unseren Nutzern bessere Dienste zur Verfügung zu stellen\xa0– von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Fragen wie zum Beispiel der Werbung, die Sie besonders nützlich finden, oder den Personen, die Ihnen online am wichtigsten sind.\"
24,German,"Wir erheben Informationen, um all unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Angelegenheiten wie zum Beispiel der Werbung, die Sie besonders nützlich finden, oder der Personen, die Ihnen online am wichtigsten sind.\"
25,German,"Wir erheben Informationen, um all unseren Nutzern bessere Dienste zur Verfügung zu stellen – von der Feststellung grundlegender Aspekte wie zum Beispiel der Sprache, die Sie sprechen, bis hin zu komplexeren Angelegenheiten wie zum Beispiel der Werbung, die Sie besonders nützlich finden, oder der Personen, die Ihnen online am wichtigsten sind.\"
26,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
27,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
28,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
29,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
30,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
31,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
32,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
33,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
34,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
35,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
36,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
37,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful, the people who matter most to you online, or which YouTube videos you might like.\"
38,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful or, the people who matter most to you online, or which YouTube videos you might like.\"
39,"English', ""We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you'll find most useful or the people who matter most to you online.\n""], ['English","We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful or the people who matter most to you online.\"
40,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful or the people who matter most to you online.\"
41,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful or the people who matter most to you online.\"
42,English,"We collect information to provide better services to all of our users – from figuring out basic stuff like which language you speak, to more complex things like which ads you’ll find most useful or the people who matter most to you online.\"
43,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
44,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
45,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
46,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
47,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
48,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles, las personas que más te interesan online o los vídeos de YouTube que pueden gustarte.\"
49,Spanish,"Recopilamos información para ofrecer mejores servicios a todos nuestros usuarios: desde determinar información básica, como el idioma que hablas, hasta datos más complejos, como los anuncios que te resultarán más útiles o las personas que más te interesan online.\"
50,Spanish,La recogida de datos se realiza para mejorar el servicio que ofrecemos a todos nuestros usuarios (desde aspectos básicos como deducir el idioma que hablan hasta aspectos más complejos como determinar qué anuncios les puedan resultar más útiles o qué usuarios son más importantes para ellos en la Web).\
51,Spanish,La recogida de datos se realiza para mejorar el servicio que ofrecemos a todos nuestros usuarios (desde aspectos básicos como deducir el idioma que hablan hasta aspectos más complejos como determinar qué anuncios les puedan resultar más útiles o qué usuarios son más importantes para ellos en la Web).\
52,French,"Les données que nous collectons servent à améliorer les services proposés aux utilisateurs. Il peut s’agir de données de base, telle que la langue que vous utilisez, ou de données plus complexes comme les annonces que vous trouvez les plus utiles ou les personnes qui vous intéressent le plus sur le Web.\"
53,French,"Les données que nous collectons servent à améliorer les services proposés aux utilisateurs. Il peut s’agir de données de base, telle que la langue que vous utilisez, ou de données plus complexes comme les annonces que vous trouvez les plus utiles ou les personnes qui vous intéressent le plus sur le Web.\"
54,Italian,"Raccogliamo dati per offrire servizi migliori a tutti i nostri utenti, ad esempio per capire elementi fondamentali come la lingua parlata dall’utente oppure elementi più complessi come quali annunci potrebbero essere più utili per l’utente o le persone che potrebbero interessare di più all’utente online.\"
55,Italian,"Raccogliamo dati per offrire servizi migliori a tutti i nostri utenti, ad esempio per capire elementi fondamentali come la lingua parlata dall’utente oppure elementi più complessi come quali annunci potrebbero essere più utili per l’utente o le persone che potrebbero interessare di più all’utente online.\"
56,Nederlands,"We verzamelen gegevens om betere services te kunnen leveren aan al onze gebruikers, van het vaststellen van basisinformatie, zoals de taal die u spreekt, tot meer complexe dingen zoals welke advertenties u het nuttigst vindt of welke mensen online het belangrijkst zijn voor u.\"
57,Nederlands,"We verzamelen gegevens om betere services te kunnen leveren aan al onze gebruikers, van het vaststellen van basisinformatie, zoals de taal die u spreekt, tot meer complexe dingen zoals welke advertenties u het nuttigst vindt of welke mensen online het belangrijkst zijn voor u.\"
58,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
59,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
60,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
61,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
62,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
63,Portuguese,"Coletamos informações para fornecer serviços melhores a todos os nossos usuários, desde descobrir coisas básicas, como o idioma que eles falam, até coisas mais complexas, como anúncios que o usuário pode considerar mais úteis, as pessoas on-line que são mais importantes para o usuário ou os vídeos do YouTube dos quais o usuário poderá gostar.\"
64,Portuguese,"Coletamos informações para fornecer serviços melhores a todos nossos usuários – desde descobrir coisas básicas, como o idioma que você fala, até coisas mais complexas, como os anúncios que você achará mais úteis ou as pessoas on-line que são mais importantes para você..\"
65,Portuguese,"Coletamos informações para fornecer serviços melhores a todos nossos usuários – desde descobrir coisas básicas, como o idioma que você fala, até coisas mais complexas, como os anúncios que você achará mais úteis ou as pessoas on-line que são mais importantes para você.\"
66,Portuguese,"Coletamos informações para fornecer serviços melhores a todos nossos usuários – desde descobrir coisas básicas, como o idioma que você fala, até coisas mais complexas, como os anúncios que você achará mais úteis ou as pessoas on-line que são mais importantes para você.\"
67,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz, çevrimiçi ortamda sizin için en önemli kişiler veya hangi YouTube videolarını beğenebileceğiniz gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
68,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz, çevrimiçi ortamda sizin için en önemli kişiler veya hangi YouTube videolarını beğenebileceğiniz gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
69,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz, çevrimiçi ortamda sizin için en önemli kişiler veya hangi YouTube videolarını beğenebileceğiniz gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
70,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz, çevrimiçi ortamda sizin için en önemli kişiler veya hangi YouTube videolarını beğenebileceğiniz gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
71,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz, çevrimiçi ortamda sizin için en önemli kişiler veya hangi YouTube videolarını beğenebileceğiniz gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
72,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz veya çevrimiçi ortamda sizin için en önemli kişiler gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
73,Turkish,"Kullandığınız dil gibi temel konulardan, hangi reklamları yararlı bulduğunuz veya çevrimiçi ortamda sizin için en önemli kişiler gibi karmaşık konulara kadar her tür bilgiyi, tüm kullanıcılarımıza daha iyi hizmetler sunmak amacıyla toplarız.\"
